ptdfAT|ptdfBE|ptdfDE|ptdfFR|ptdfNL|ram|timestamp
0.17295|-0.00405|0.0146|-0.02149|0|837|2019-02-14T23:00:00Z
0.18192|-0.00426|0.02517|-0.01135|0|837|2019-02-14T23:00:00Z
0.17445|-0.01076|0.02065|-0.02698|0|837|2019-02-14T23:00:00Z
0.17119|-0.00301|0.00391|-0.00644|0|837|2019-02-14T23:00:00Z
0.16958|-0.00397|0.00328|-0.01058|0|837|2019-02-14T23:00:00Z
0.17699|-0.00414|0.01788|-0.00414|0|823|2019-02-14T23:00:00Z
0.17244|-0.00357|0.00962|-0.00357|0|823|2019-02-14T23:00:00Z
0.17579|-0.00256|0.01484|-0.00256|0|823|2019-02-14T23:00:00Z
0.17472|-0.0109|0.01801|-0.0109|0|823|2019-02-14T23:00:00Z
0.1724|-0.01364|0.01562|-0.01364|0|823|2019-02-14T23:00:00Z
0.17482|-0.00409|0.01476|-0.00085|0|823|2019-02-14T23:00:00Z
0.17042|-0.00849|0.00906|-0.00849|0|823|2019-02-14T23:00:00Z
0.17054|-0.01064|0.01057|-0.01064|0|823|2019-02-14T23:00:00Z
0.17098|-0.01444|0.01444|-0.01067|0|823|2019-02-14T23:00:00Z
-0.01391|-0.05012|0.01515|-0.04406|0.00664|581|2019-02-15T04:00:00Z
-0.00629|-0.24178|0.00803|-0.09045|-0.20295|1496|2019-02-15T04:00:00Z
-0.0164|0.01425|-0.03462|-0.04683|0.05646|453|2019-02-15T04:00:00Z
-0.02019|0.01227|0.03714|-0.01383|0.01751|522|2019-02-15T04:00:00Z
-0.09388|0.02467|0.02666|0.02467|0.024|707|2019-02-15T04:00:00Z
-0.15502|0.04937|0.02911|0.05493|0.04557|1238|2019-02-15T04:00:00Z
0.01132|0.06381|0.00424|0.04026|0.20029|567|2019-02-15T04:00:00Z
-0.01772|-0.27839|0.01556|-0.12157|0.02031|1618|2019-02-15T04:00:00Z
0.01772|0.27839|-0.01556|0.12157|-0.02031|1227|2019-02-15T04:00:00Z
-0.0134|-0.18696|0.01053|-0.08901|0.17223|1100|2019-02-15T04:00:00Z
0.01293|0.14369|-0.0102|0.08636|-0.16389|1374|2019-02-15T04:00:00Z
0.0134|0.18696|-0.01053|0.08901|-0.17223|1627|2019-02-15T04:00:00Z
0.01572|-0.17858|-0.01442|0.12801|-0.10218|1452|2019-02-15T04:00:00Z
-0.00478|0.07789|0.00323|-0.01942|0.0289|356|2019-02-15T04:00:00Z
-0.01432|0.0258|0.013|-0.11461|0.09465|723|2019-02-15T04:00:00Z
-0.01285|-0.12057|0.00707|-0.06417|0.24269|1093|2019-02-15T04:00:00Z
-0.01326|-0.11116|0.00492|-0.06127|-0.15528|742|2019-02-15T04:00:00Z
0|-1|0|0|0|6000|2019-02-15T04:00:00Z
0|0|0|0|-1|5750|2019-02-15T04:00:00Z
-0.02552|0.07684|-0.09808|0.11841|0|895|2019-02-15T04:00:00Z
0.02263|0.09256|-0.04639|0.17709|0|895|2019-02-15T04:00:00Z
0.02477|0.09141|-0.05233|0.15784|0|895|2019-02-15T04:00:00Z
-0.02362|0.06929|-0.08858|0.13724|0|895|2019-02-15T04:00:00Z
-0.01271|0.10133|-0.07863|0.15545|0|895|2019-02-15T04:00:00Z
-0.00482|0.10767|-0.06291|0.18505|0|895|2019-02-15T04:00:00Z
0.0325|0.11627|-0.03516|0.19758|0|895|2019-02-15T04:00:00Z
0.0312|0.11588|-0.03642|0.19634|0|895|2019-02-15T04:00:00Z
-0.00209|0.10775|-0.06272|0.18103|0|895|2019-02-15T04:00:00Z
0.03047|0.09957|-0.03675|0.19128|0|895|2019-02-15T04:00:00Z
0.03252|0.11578|-0.03491|0.198|0|895|2019-02-15T04:00:00Z
0.03291|0.115|-0.03473|0.19757|0|895|2019-02-15T04:00:00Z
0.072|2e-04|0|0.00126|0|356|2019-02-15T04:00:00Z
0.06701|0.00219|0|0.0102|0|356|2019-02-15T04:00:00Z
0.06844|0.00488|0|0.00873|0|356|2019-02-15T04:00:00Z
0.07203|0.00024|0|0.00122|0|356|2019-02-15T04:00:00Z
0.08393|0.01523|0.01996|0.02138|0|356|2019-02-15T04:00:00Z
0.08698|0.01903|0.02435|0.02527|0|356|2019-02-15T04:00:00Z
0.07156|0.00732|0.00169|0.00732|0|356|2019-02-15T04:00:00Z
0.07243|0.00293|0.00084|0.00293|0|356|2019-02-15T04:00:00Z
0.07115|0|0.00142|0.00508|0|356|2019-02-15T04:00:00Z
0.07061|0|0.00238|0.00768|0|356|2019-02-15T04:00:00Z
0.0717|0|0.00018|0.002|0|356|2019-02-15T04:00:00Z
0.07057|0|0.00238|0.00774|0|356|2019-02-15T04:00:00Z
0.07175|0|0|0.0016|0|356|2019-02-15T04:00:00Z
0.06792|0|0|0.00795|0|356|2019-02-15T04:00:00Z
0.09068|0.00186|0.00334|0.00648|0|444|2019-02-15T04:00:00Z
0.10467|0.01899|0.02489|0.02667|0|444|2019-02-15T04:00:00Z
0.08261|0.0059|-0.00302|0.0059|0|439|2019-02-15T04:00:00Z
0.08667|0.00178|-0.00159|0.00092|0|439|2019-02-15T04:00:00Z
0.0846|0.00723|-0.00155|0.00604|0|439|2019-02-15T04:00:00Z
0.0866|0.00796|0|0.00735|0|439|2019-02-15T04:00:00Z
0.08858|0.0029|0|0.0026|0|439|2019-02-15T04:00:00Z
0.08657|0.00774|0|0.00774|0|439|2019-02-15T04:00:00Z
0.08871|0.00242|0|0.00242|0|439|2019-02-15T04:00:00Z
0.08658|0|-0.00201|-0.00011|0|439|2019-02-15T04:00:00Z
0.0835|0|-0.00411|-0.00104|0|439|2019-02-15T04:00:00Z
0.07308|0|-0.0109|-0.00181|0|439|2019-02-15T04:00:00Z
0.08678|0|-0.00187|0|0|439|2019-02-15T04:00:00Z
0.07952|0|-0.00391|0.00973|0|448|2019-02-15T04:00:00Z
0.07352|0|-0.01015|0.00358|0|448|2019-02-15T04:00:00Z
0.07053|-0.00024|-0.0017|-0.00024|0|358|2019-02-15T04:00:00Z
0.01105|-0.0303|-0.04254|-0.0303|0|358|2019-02-15T04:00:00Z
0.0106|-0.02798|-0.04262|-0.02798|0|358|2019-02-15T04:00:00Z
0.03196|-0.01482|-0.02776|-0.01482|0|358|2019-02-15T04:00:00Z
0.0646|-0.00403|-0.00583|-0.00403|0|358|2019-02-15T04:00:00Z
0.02814|-0.02299|-0.03092|-0.02299|0|358|2019-02-15T04:00:00Z
0.05975|0|-0.00861|0|0|358|2019-02-15T04:00:00Z
-0.06026|-0.06341|-0.09244|-0.07301|0|358|2019-02-15T04:00:00Z
0.05699|0|-0.00023|0.00072|0|283|2019-02-15T04:00:00Z
0.057|0|-2e-04|0.00078|0|283|2019-02-15T04:00:00Z
0.02977|-0.01462|-0.01895|-0.01377|0|283|2019-02-15T04:00:00Z
0.05241|0|-0.00096|0.00643|0|283|2019-02-15T04:00:00Z
0.05533|-0.00109|-0.00155|-0.00077|0|283|2019-02-15T04:00:00Z
0.05276|-0.00264|-0.00097|0.00377|0|283|2019-02-15T04:00:00Z
0.05421|-0.00171|0|0.0046|0|283|2019-02-15T04:00:00Z
0.17707|0|0.01496|-0.00478|0|831|2019-02-15T04:00:00Z
0.17477|0|0.017|-0.01692|0|831|2019-02-15T04:00:00Z
0.1788|0|0.02111|-0.01111|0|831|2019-02-15T04:00:00Z
0.17176|0|0.00719|-0.00774|0|831|2019-02-15T04:00:00Z
0.17113|0|0.00752|-0.01063|0|831|2019-02-15T04:00:00Z
