SESSION_ID,MATRIX_ID,ROW_ID,REMAININGAVAILABLEMARGIN
20181001,1,33167,970
20181001,1,33176,1216
20181001,1,33385,286
20181001,1,33432,874
20181001,1,33438,890
20181001,1,33467,868
20181001,1,33474,924
20181001,1,33543,868
20181001,1,33620,693
20181001,1,33893,868
20181001,1,33913,874
20181001,1,33967,970
20181001,1,33990,419
20181001,1,34119,860
20181001,1,34332,874
20181001,1,34371,427
20181001,1,34438,866
20181001,1,34595,321
20181001,1,34669,970
20181001,1,34742,427
20181001,1,34759,422
20181001,1,34786,430
20181001,1,34886,1342
20181001,1,34909,419
20181001,1,34940,798
20181001,1,34960,1696
20181001,1,35078,430
20181001,1,35108,321
20181001,1,35122,874
20181001,1,35213,321
20181001,1,35240,427
20181001,1,35320,866
20181001,1,35424,419
20181001,1,35498,427
20181001,1,35611,321
20181001,1,35640,419
20181001,1,35649,286
20181001,1,35718,427
20181001,1,35721,970
20181001,1,35756,1709
20181001,1,36014,430
20181001,1,36107,1021
20181001,1,36125,286
20181001,1,36265,427
20181001,1,36394,874
20181001,1,36420,874
20181001,1,36486,419
20181001,1,36512,422
20181001,1,36645,419
20181001,1,36694,970
20181001,1,36718,427
20181001,1,36735,427
20181001,1,36780,430
20181001,1,36823,286
20181001,1,36866,868
20181001,1,37063,286
20181001,1,37131,419
20181001,1,37381,874
20181001,1,37433,430
20181001,1,37578,924
20181001,1,37797,419
20181001,1,37886,427
20181001,1,38006,419
20181001,1,38069,860
20181001,1,38104,419
20181001,1,38145,344
20181001,1,38200,419
20181001,1,38391,852
20181001,1,38423,5500
20181001,1,38444,286
20181001,1,38589,422
20181001,1,38661,427
20181001,1,38685,868
20181001,1,38698,970
20181001,1,38700,419
20181001,1,38842,419
20181001,1,38863,874
20181001,1,38977,427
20181001,1,38992,427
20181001,1,39030,344
20181001,1,39035,427
20181001,1,39040,419
20181001,1,39155,874
20181001,1,39199,427
20181001,1,39209,427
20181001,1,39354,427
20181001,1,39532,321
20181001,1,39606,868
20181001,1,39632,860
20181001,1,39683,1061
20181001,1,39787,1479
20181001,1,39817,5000
20181001,1,39840,775
20181001,1,39893,419
20181001,1,39906,970
20181001,1,40000,427
20181001,1,40091,286
20181001,1,40154,419
20181001,1,40292,970
20181001,1,40426,392
20181001,1,40570,419
20181001,1,40602,499
20181001,1,40826,427
20181001,1,41050,286
20181001,1,41075,868
20181001,1,41078,874
20181001,1,41108,868
20181001,1,41280,860
20181001,1,41326,430
20181001,1,41343,286
20181001,1,41352,321
20181001,2,116368,277
20181001,2,116529,5000
20181001,2,116595,419
20181001,2,116694,1007
20181001,2,116889,294
20181001,2,116956,419
20181001,2,116960,419
20181001,2,117051,278
20181001,2,117056,278
20181001,2,117064,294
20181001,2,117147,419
20181001,2,117201,944
20181001,2,117239,944
20181001,2,117246,419
20181001,2,117491,277
20181001,2,117686,422
20181001,2,117807,419
20181001,2,118071,419
20181001,2,118187,335
20181001,2,118233,277
20181001,2,118290,419
20181001,2,118319,838
20181001,2,118371,419
20181001,2,118509,868
20181001,2,118525,419
20181001,2,118659,419
20181001,2,118675,277
20181001,2,118703,422
20181001,2,118717,419
20181001,2,118854,868
20181001,2,118954,944
20181001,2,119087,944
20181001,2,119106,1626
20181001,2,119152,277
20181001,2,119258,335
20181001,2,119277,1437
20181001,2,119483,1291
20181001,2,119547,655
20181001,2,119603,391
20181001,2,119627,419
20181001,2,119697,748
20181001,2,119917,294
20181001,2,120051,838
20181001,2,120062,321
20181001,2,120080,944
20181001,2,120200,1599
20181001,2,120219,278
20181001,2,120230,1077
20181001,2,120363,838
20181001,2,120364,866
20181001,2,120538,866
20181001,2,120666,278
20181001,2,120685,278
20181001,2,120756,277
20181001,2,120762,737
20181001,2,120765,838
20181001,2,120862,422
20181001,2,120968,944
20181001,2,121059,838
20181001,2,121090,321
20181001,2,121137,868
20181001,2,121181,944
20181001,2,121283,419
20181001,2,121344,5500
20181001,2,121686,277
20181001,2,121835,419
20181001,2,121847,874
20181001,2,121976,419
20181001,2,122000,422
20181001,2,122111,419
20181001,2,122169,860
20181001,2,122180,860
20181001,2,122183,868
20181001,2,122344,419
20181001,2,122381,860
20181001,2,122419,944
20181001,2,122534,874
20181001,2,122551,419
20181001,2,122665,419
20181001,2,122723,419
20181001,2,122752,1513
20181001,2,122759,419
20181001,2,122853,422
20181001,2,122865,868
20181001,2,122908,278
20181001,2,122920,364
20181001,2,122947,496
20181001,2,122989,419
20181001,2,123011,860
20181001,2,123055,278
20181001,2,123121,944
20181001,2,123211,419
20181001,2,123255,422
20181001,2,123284,868
20181001,2,123323,874
20181001,2,123347,1030
20181001,2,123367,874
20181001,2,123429,425
