SESSION_ID,MATRIX_ID,ROW_ID,BIDDINGAREA_ID,FACTOR
20181001,1,33167,20,0.20238
20181001,1,33167,22,-0.05061
20181001,1,33167,23,0.02827
20181001,1,33167,90,0.14575
20181001,1,33167,92,0
20181001,1,33176,20,0.06796
20181001,1,33176,22,0.04318
20181001,1,33176,23,-0.14698
20181001,1,33176,90,0.06488
20181001,1,33176,92,0.0607
20181001,1,33385,20,0.00801
20181001,1,33385,22,0
20181001,1,33385,23,0.05381
20181001,1,33385,90,0.00209
20181001,1,33385,92,0
20181001,1,33432,20,-0.00827
20181001,1,33432,22,0.00508
20181001,1,33432,23,0.17847
20181001,1,33432,90,-0.00431
20181001,1,33432,92,0
20181001,1,33438,20,-0.1287
20181001,1,33438,22,0.02235
20181001,1,33438,23,-0.01683
20181001,1,33438,90,0.06423
20181001,1,33438,92,0.12151
20181001,1,33467,20,-0.00836
20181001,1,33467,22,0.00999
20181001,1,33467,23,0.18036
20181001,1,33467,90,0
20181001,1,33467,92,0
20181001,1,33474,20,0.08819
20181001,1,33474,22,-0.01796
20181001,1,33474,23,0.01295
20181001,1,33474,90,0.30467
20181001,1,33474,92,-0.01812
20181001,1,33543,20,0.00182
20181001,1,33543,22,0.00938
20181001,1,33543,23,0.1825
20181001,1,33543,90,0.00182
20181001,1,33543,92,0
20181001,1,33620,20,0.02643
20181001,1,33620,22,0.02863
20181001,1,33620,23,-0.08503
20181001,1,33620,90,0.02666
20181001,1,33620,92,0.02592
20181001,1,33893,20,-0.00865
20181001,1,33893,22,0.02085
20181001,1,33893,23,0.18653
20181001,1,33893,90,0
20181001,1,33893,92,0
20181001,1,33913,20,-0.00881
20181001,1,33913,22,0.02548
20181001,1,33913,23,0.19004
20181001,1,33913,90,-0.00459
20181001,1,33913,92,0
20181001,1,33967,20,0.23358
20181001,1,33967,22,-0.0079
20181001,1,33967,23,0.06937
20181001,1,33967,90,0.12577
20181001,1,33967,92,0
20181001,1,33990,20,-0.00217
20181001,1,33990,22,-0.01209
20181001,1,33990,23,0.06756
20181001,1,33990,90,0
20181001,1,33990,92,0
20181001,1,34119,20,0.00166
20181001,1,34119,22,0.00715
20181001,1,34119,23,0.17916
20181001,1,34119,90,0
20181001,1,34119,92,0
20181001,1,34332,20,-0.01136
20181001,1,34332,22,0.01581
20181001,1,34332,23,0.18332
20181001,1,34332,90,-0.01136
20181001,1,34332,92,0
20181001,1,34371,20,0
20181001,1,34371,22,-0.01153
20181001,1,34371,23,0.06964
20181001,1,34371,90,0
20181001,1,34371,92,0
20181001,1,34438,20,-0.00833
20181001,1,34438,22,0.01549
20181001,1,34438,23,0.17966
20181001,1,34438,90,-0.01425
20181001,1,34438,92,0
20181001,1,34595,20,0.00442
20181001,1,34595,22,-0.00169
20181001,1,34595,23,0.06093
20181001,1,34595,90,0.00511
20181001,1,34595,92,0
20181001,1,34669,20,0.13863
20181001,1,34669,22,-0.10337
20181001,1,34669,23,-0.02771
20181001,1,34669,90,0.07236
20181001,1,34669,92,0
20181001,1,34742,20,-0.04024
20181001,1,34742,22,-0.06373
20181001,1,34742,23,-0.00366
20181001,1,34742,90,-0.04024
20181001,1,34742,92,0
20181001,1,34759,20,0.00382
20181001,1,34759,22,0
20181001,1,34759,23,0.08368
20181001,1,34759,90,0
20181001,1,34759,92,0
20181001,1,34786,20,-0.17951
20181001,1,34786,22,-0.209
20181001,1,34786,23,-0.20321
20181001,1,34786,90,-0.17474
20181001,1,34786,92,0
20181001,1,34886,20,-0.06626
20181001,1,34886,22,0.01166
20181001,1,34886,23,-0.00249
20181001,1,34886,90,-0.21083
20181001,1,34886,92,-0.20839
20181001,1,34909,20,-0.18316
20181001,1,34909,22,-0.22068
20181001,1,34909,23,-0.22068
20181001,1,34909,90,-0.15025
20181001,1,34909,92,0
20181001,1,34940,20,-0.12089
20181001,1,34940,22,0.02005
20181001,1,34940,23,-0.01486
20181001,1,34940,90,0.21595
20181001,1,34940,92,0.10554
20181001,1,34960,20,-0.08819
20181001,1,34960,22,0.01796
20181001,1,34960,23,-0.01295
20181001,1,34960,90,-0.30467
